LMO3,PCSK5,VSIG1,BACH2,PDGFRB,CR2,RASL11A,RTN2,LGR6,TPT1,TNS3,DUSP6,ITGB1BP2,FAM83A,AZGP1,SCGB3A1,IFI27,STK32A,METRNL,SIX5,CD163L1,PCDHB9,LDLRAD3,ALOX15B,GLTPD2,DCUN1D3,TPSB2,ERVMER341,MTRNR2L12,AC005832.4,TBCE,group
27,965,112,160,64,23,69,169,56,18680,2438,2062,27,4367,59,140,4673,4,831,113,11,25,146,13,163,1477,4,27,473,52,2331,0
26,38,2,43,0,13,0,77,35,1273,33,222,5,237,10,0,7,0,451,3,12,4,4,0,31,510,6,1,0,0,68,0
5,381,93,182,133,50,16,141,13,18094,2051,524,41,2186,95,0,1530,13,685,95,104,3,49,29,21,485,86,67,100,100,1917,0
30,245,3,29,278,0,0,131,0,4211,37,174,1,177,65,27,61,0,1104,7,0,148,0,0,0,560,0,20,232,5,118,0
26,1491,55,407,18,27,66,416,307,16684,669,820,41,8161,36,272,480,144,208,363,3,73,113,200,82,379,16,115,540,10,478,0
16,3841,78,224,65,81,59,585,34,17029,1852,2178,36,1882,85,145,2928,4,1537,126,61,18,158,12,95,3017,226,17,225,13,1189,0
0,907,1,4,3,3,19,104,50,2702,46,76,1,125,26,69,45,18,394,21,6,36,2,16,28,203,1,24,4,0,602,0
20,585,44,248,60,101,39,125,24,19274,582,852,19,5852,366,11,614,15,608,53,10,23,14,45,50,967,32,51,90,4,6609,0
6,53,0,6,8,1,3,1,3,443,12,12,1,46,6,7,34,1,15,6,13,2,0,1,2,555,0,2,5,0,60,0
26,221,0,0,0,0,4,0,34,2858,219,149,0,964,28,96,1959,0,138,23,0,0,5,12,0,74,0,20,9,26,1197,0
2,91,3,160,0,18,1,20,9,1433,753,276,8,354,1,0,159,7,100,4,3,4,39,0,0,438,38,0,0,0,366,0
4,246,1,103,1,7,2,91,80,5838,49,127,6,1197,388,4,195,9,180,53,2,7,9,5,11,101,30,41,33,1,427,0
7,1380,38,139,58,11,23,42,20,8336,312,352,19,6832,69,9,1035,5,368,153,16,9,20,35,41,235,16,32,490,12,1289,0
29,531,111,27,388,0,27,4,21,12770,90,236,0,726,7,66,1458,4,88,74,0,14,47,99,7,1264,0,157,16,14,1087,0
